word	file	lines
Audiographer	About.Rmd	34
Audiographer	About.md	34
Audiographer	About.md	34
Audiography	About.Rmd	35
Audiography	About.md	35
Audiography	About.md	35
automagic	README.md	16
bookdown	README.md	36
Bookdown	README.md	13,32
CamelCase	03-intro-to-python.md	524
chapt	1-Introduction.md	3
chapt	2-A-new-chapter.md	3
chapt	3-Topic-of-Section.md	3
chapt	4-References.md	3
chapt	About-the-Authors.md	3
chapt	About-this-Course.md	3
chapt	References.md	3
constructued	03-intro-to-python.md	213
Coursera	README.md	14,32
creativecommons	LICENSE.md	378,395
DISCOVERABLE	LICENSE.md	286
enforceability	LICENSE.md	359
faq	code_of_conduct.md	123
FirstName	About.Rmd	12,48
FirstName	About.md	12,103
FirstName	About.md	12,110
Funder	About.Rmd	37
Funder	About.md	37
Funder	About.md	37
Generis	LICENSE.md	85,123,262,264,271
Github	README.md	15
https	code_of_conduct.md	117,123,124
ies	LICENSE.md	112
iframe	1-Introduction.md	3
iframe	2-A-new-chapter.md	3
iframe	3-Topic-of-Section.md	3
iframe	4-References.md	3
iframe	About-the-Authors.md	3
iframe	About-this-Course.md	3
iframe	References.md	3
immunities	LICENSE.md	370
instantiation	03-intro-to-python.md	458
Jupyter	00-demo.md	22,24
Jupyter	03-intro-to-python.md	19,19
Jupyter	03-intro-to-python.md	16
jupytext	00-demo.md	13
LastName	About.Rmd	12,48
LastName	About.md	12,103
LastName	About.md	12,110
Licensor	LICENSE.md	59,71,103,107,112,333,344,366,370,378
LICENSOR	LICENSE.md	286,297
Matplotlib	03-intro-to-python.md	10
Matplotlib	03-intro-to-python.md	10
MERCHANTABILITY	LICENSE.md	286
Muschelli	About.Rmd	28,48
Muschelli	About.md	28,103
Muschelli	About.md	28,110
NumPy	03-intro-to-python.md	8
NumPy	03-intro-to-python.md	8
OOP	03-intro-to-python.md	454,456
OTTR	README.md	3,5,19
ottrpal	About.Rmd	28
ottrpal	About.md	28
ottrpal	About.md	28
png	1-Introduction.md	3
png	2-A-new-chapter.md	3
png	3-Topic-of-Section.md	3
png	4-References.md	3
png	About-the-Authors.md	3
png	About-this-Course.md	3
png	References.md	3
pre	README.md	19
RMarkdown	README.md	11
Rossum	03-intro-to-python.md	4
Rossum	03-intro-to-python.md	4
Savonen	About.Rmd	25,26,27,28,48
Savonen	About.md	25,26,27,28,103
Savonen	About.md	25,26,27,28,110
scikit	03-intro-to-python.md	18
scikit	03-intro-to-python.md	18
sexualized	code_of_conduct.md	30
socio	code_of_conduct.md	6
synched	LICENSE.md	71
Videographer	About.Rmd	32
Videographer	About.md	32
Videographer	About.md	32
Videography	About.Rmd	33
Videography	About.md	33
Videography	About.md	33
WIPO	LICENSE.md	93
